e000 3d_rotation 
e001 accessibility 
e002 accessibility_new 
e003 accessible 
e004 accessible_forward 
e005 account_balance 
e006 account_balance_wallet 
e007 account_box 
e008 account_circle 
e009 add_shopping_cart 
e00a alarm 
e00b alarm_add 
e00c alarm_off 
e00d alarm_on 
e00e all_inbox 
e00f all_out 
e010 android 
e011 announcement 
e012 arrow_right_alt 
e013 aspect_ratio 
e014 assessment 
e015 assignment 
e016 assignment_ind 
e017 assignment_late 
e018 assignment_return 
e019 assignment_returned 
e01a assignment_turned_in 
e01b autorenew 
e01c backup 
e01d book 
e01e bookmark 
e01f bookmark_border 
e020 bookmarks 
e021 bug_report 
e022 build 
e023 cached 
e024 calendar_today 
e025 calendar_view_day 
e026 camera_enhance 
e027 card_giftcard 
e028 card_membership 
e029 card_travel 
e02a change_history 
e02b check_circle 
e02c check_circle_outline 
e02d chrome_reader_mode 
e02e class 
e02f code 
e030 commute 
e031 compare_arrows 
e032 contact_support 
e033 copyright 
e034 credit_card 
e035 dashboard 
e036 date_range 
e037 delete 
e038 delete_forever 
e039 delete_outline 
e03a description 
e03b dns 
e03c done 
e03d done_all 
e03e done_outline 
e03f donut_large 
e040 donut_small 
e041 drag_indicator 
e042 eject 
e043 euro_symbol 
e044 event 
e045 event_seat 
e046 exit_to_app 
e047 explore 
e048 explore_off 
e049 extension 
e04a face 
e04b favorite 
e04c favorite_border 
e04d feedback 
e04e find_in_page 
e04f find_replace 
e050 fingerprint 
e051 flight_land 
e052 flight_takeoff 
e053 flip_to_back 
e054 flip_to_front 
e055 g_translate 
e056 gavel 
e057 get_app 
e058 gif 
e059 grade 
e05a group_work 
e05b help 
e05c help_outline 
e05d highlight_off 
e05e history 
e05f home 
e060 horizontal_split 
e061 hourglass_empty 
e062 hourglass_full 
e063 http 
e064 https 
e065 important_devices 
e066 info 
e067 input 
e068 invert_colors 
e069 label 
e06a label_important 
e06b label_off 
e06c language 
e06d launch 
e06e line_style 
e06f line_weight 
e070 list 
e071 lock 
e072 lock_open 
e073 loyalty 
e074 markunread_mailbox 
e075 maximize 
e076 minimize 
